"trial_type","trial_index","time_elapsed","internal_node_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score","total_bonus"
"pavlovia","0","674","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","11432","0.0-1.0-0.0","10714","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","15540","0.0-1.0-1.0","4100","","{""Q0"":""Transgender Male"",""Q1"":""Native Hawaiian or Pacific Islander""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","17643","0.0-1.0-2.0","2097","","{""Q0"":""gtfyguhi""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","4","18817","0.0-1.0-3.0","1064","","{""Q0"":""ctd6f7g8hiojm""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","21099","0.0-2.0","2167","","","","[{""page_index"":0,""viewing_time"":1136},{""page_index"":1,""viewing_time"":1030}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","6","22312","0.0-3.0","1212","","","","[{""page_index"":0,""viewing_time"":1211}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","7","22401","0.0-4.0-0.0","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","8","25619","0.0-4.0-1.0","3218","","","","[{""page_index"":0,""viewing_time"":1465},{""page_index"":1,""viewing_time"":193},{""page_index"":2,""viewing_time"":163},{""page_index"":3,""viewing_time"":144},{""page_index"":4,""viewing_time"":161},{""page_index"":5,""viewing_time"":149},{""page_index"":6,""viewing_time"":147},{""page_index"":7,""viewing_time"":161},{""page_index"":8,""viewing_time"":159},{""page_index"":9,""viewing_time"":160},{""page_index"":10,""viewing_time"":166},{""page_index"":11,""viewing_time"":150}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","26892","0.0-4.0-2.0-0.0-0.0","1271","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","28645","0.0-4.0-2.0-1.0-0.0","865","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","",""
"html-button-response","11","29763","0.0-4.0-2.0-2.0-0.0","840","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","",""
"html-button-response","12","30795","0.0-4.0-2.0-3.0-0.0","755","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","",""
"instructions","13","31815","0.0-4.0-3.0","722","","","","[{""page_index"":0,""viewing_time"":722}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","32462","0.0-4.0-4.0-0.0","645",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>10% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","15","33121","0.0-4.0-4.0-1.0-0.0","653","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","1","1","0","1","true","","","","","","","","","","","",""
"image-keyboard-response","16","33435","0.0-4.0-4.0-1.0-1.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","17","33949","0.0-4.0-4.0-1.0-2.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","18","34322","0.0-4.0-4.0-1.0-0.1","364","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","1","1","1","1","1","true","","","","","","","","","","","",""
"image-keyboard-response","19","34636","0.0-4.0-4.0-1.0-1.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","20","35151","0.0-4.0-4.0-1.0-2.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","21","35440","0.0-4.0-4.0-1.0-0.2","287","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","2","1","2","1","1","false","","","","","","","","","","","",""
"image-keyboard-response","22","35756","0.0-4.0-4.0-1.0-1.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","23","36267","0.0-4.0-4.0-1.0-2.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","24","36601","0.0-4.0-4.0-1.0-0.3","325","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","3","1","1","2","1","true","","","","","","","","","","","",""
