"trial_type","trial_index","time_elapsed","internal_node_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","highH_score","lowH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score","total_bonus"
"pavlovia","0","4098","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","26790","0.0-1.0-0.0","22582","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","30160","0.0-1.0-1.0","3363","","{""Q0"":""Transgender Male"",""Q1"":""Black or African American""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","31999","0.0-1.0-2.0","1836","","{""Q0"":""23""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","4","33192","0.0-1.0-3.0","1077","","{""Q0"":""2""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","35089","0.0-2.0","1789","","","","[{""page_index"":0,""viewing_time"":908},{""page_index"":1,""viewing_time"":881}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","6","35535","0.0-3.0","445","","","","[{""page_index"":0,""viewing_time"":445}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","7","35621","0.0-4.0-0.0","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","8","38801","0.0-4.0-1.0","3179","","","","[{""page_index"":0,""viewing_time"":1368},{""page_index"":1,""viewing_time"":319},{""page_index"":2,""viewing_time"":156},{""page_index"":3,""viewing_time"":132},{""page_index"":4,""viewing_time"":150},{""page_index"":5,""viewing_time"":150},{""page_index"":6,""viewing_time"":145},{""page_index"":7,""viewing_time"":154},{""page_index"":8,""viewing_time"":153},{""page_index"":9,""viewing_time"":145},{""page_index"":10,""viewing_time"":154},{""page_index"":11,""viewing_time"":153}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","40265","0.0-4.0-2.0-0.0-0.0","1461","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","42728","0.0-4.0-2.0-1.0-0.0","1897","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","",""
"html-button-response","11","45001","0.0-4.0-2.0-2.0-0.0","1781","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","",""
"html-button-response","12","46353","0.0-4.0-2.0-3.0-0.0","956","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","",""
"instructions","13","47739","0.0-4.0-3.0","890","","","","[{""page_index"":0,""viewing_time"":890}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","48377","0.0-4.0-4.0-0.0","637",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>10% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","15","49577","0.0-4.0-4.0-1.0-0.0","1194","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","1","1","0","1","true","","","","","","","","","","","",""
"image-keyboard-response","16","49889","0.0-4.0-4.0-1.0-1.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","17","50401","0.0-4.0-4.0-1.0-2.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","18","52300","0.0-4.0-4.0-1.0-0.1","1891","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","1","1","1","1","1","true","","","","","","","","","","","",""
"image-keyboard-response","19","52604","0.0-4.0-4.0-1.0-1.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","20","53116","0.0-4.0-4.0-1.0-2.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","21","53388","0.0-4.0-4.0-1.0-0.2","270","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","2","1","2","1","1","false","","","","","","","","","","","",""
"image-keyboard-response","22","53692","0.0-4.0-4.0-1.0-1.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","23","54207","0.0-4.0-4.0-1.0-2.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","24","54457","0.0-4.0-4.0-1.0-0.3","241","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","3","1","1","2","2","false","","","","","","","","","","","",""
"image-keyboard-response","25","54781","0.0-4.0-4.0-1.0-1.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","26","55295","0.0-4.0-4.0-1.0-2.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","27","55428","0.0-4.0-4.0-1.0-0.4","132","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","4","1","2","1","1","false","","","","","","","","","","","",""
"image-keyboard-response","28","55731","0.0-4.0-4.0-1.0-1.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","29","56247","0.0-4.0-4.0-1.0-2.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","58306","0.0-4.0-4.0-2.0","2059",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","31","59710","0.0-4.0-5.0","1404","","","","[{""page_index"":0,""viewing_time"":959},{""page_index"":1,""viewing_time"":445}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","60254","0.0-4.0-6.0-0.0","543",""," ","","","","","","","","<div align=center>In this block, there will be a <b>99%</b> chance that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","",""
