"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","state","choice","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score","jar","bead","previous_bead","correct","highH_score","lowH_score","total_bonus"
"pavlovia","0","733","0.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","3934","0.0-1.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","3194","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","7647","0.0-1.0-1.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","3711","","{""Q0"":""Transgender Female"",""Q1"":""Native Hawaiian or Pacific Islander""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","9688","0.0-1.0-2.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","2039","","{""Q0"":""py93804""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","10583","0.0-2.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","781","","","","[{""page_index"":0,""viewing_time"":651},{""page_index"":1,""viewing_time"":130}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","10695","0.0-3.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","111","","","","[{""page_index"":0,""viewing_time"":111}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","10778","0.0-4.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","7","11265","0.0-4.0-1.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","487","","","","[{""page_index"":0,""viewing_time"":38},{""page_index"":1,""viewing_time"":106},{""page_index"":2,""viewing_time"":125},{""page_index"":3,""viewing_time"":98},{""page_index"":4,""viewing_time"":120}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","11378","0.0-4.0-2.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","114","","j","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","good_alien_practice","0","green","1","1","","","","","","","","","","","","","",""
"html-keyboard-response","9","11893","0.0-4.0-2.0-1.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","12901","0.0-4.0-2.0-2.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/treasure.png')""></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","12972","0.0-4.0-2.0-0.1","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","69","","j","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","good_alien_practice","1","green","1","1","","","","","","","","","","","","","",""
"html-keyboard-response","12","13475","0.0-4.0-2.0-1.1","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","14489","0.0-4.0-2.0-2.1","60520f7b38610f36b366a806","6359551218e5c682346227eb","0199jqbsahl2","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/treasure.png')""></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
