"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded"
"pavlovia","0","665","0.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","4288","0.0-1.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","3618","new_consent.html","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","8895","0.0-1.0-1.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","4604","","{""Q0"":""Non-binary"",""Q1"":""Asian""}","[0,1]","","","","","","","","","","","","","","","","","",""
"survey-text","3","10865","0.0-1.0-2.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","1967","","{""Q0"":""3yt""}","","","","","","","","","","","","","","","","","","",""
"instructions","4","13562","0.0-2.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","2588","","","","[{""page_index"":0,""viewing_time"":2437},{""page_index"":1,""viewing_time"":151}]","","","","","","","","","","","","","","","","",""
"instructions","5","13711","0.0-3.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","147","","","","[{""page_index"":0,""viewing_time"":147}]","","","","","","","","","","","","","","","","",""
"preload","6","13752","0.0-4.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","","","","","","true","false","[]","[]","[]","","","","","","","","","","","",""
"instructions","7","15634","0.0-4.0-1.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","1882","","","","[{""page_index"":0,""viewing_time"":142},{""page_index"":1,""viewing_time"":254},{""page_index"":2,""viewing_time"":177},{""page_index"":3,""viewing_time"":136},{""page_index"":4,""viewing_time"":137},{""page_index"":5,""viewing_time"":160},{""page_index"":6,""viewing_time"":148},{""page_index"":7,""viewing_time"":156},{""page_index"":8,""viewing_time"":156},{""page_index"":9,""viewing_time"":152},{""page_index"":10,""viewing_time"":136},{""page_index"":11,""viewing_time"":128}]","","","","","","","","","","","","","","","","",""
"html-button-response","8","17871","0.0-4.0-2.0-0.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","2235","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","",""
"html-button-response","9","19927","0.0-4.0-2.0-1.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","1123","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","",""
