"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","highH_score","lowH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score","total_bonus"
"pavlovia","0","4330","0.0-0.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","45339","0.0-1.0-0.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","40803","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","54041","0.0-1.0-1.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","8687","","{""Q0"":""Female"",""Q1"":""Hispanic or Latino""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","57209","0.0-1.0-2.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","3139","","{""Q0"":""21""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","78192","0.0-2.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","20879","","","","[{""page_index"":0,""viewing_time"":18529},{""page_index"":1,""viewing_time"":2346}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","79609","0.0-3.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","1414","","","","[{""page_index"":0,""viewing_time"":1413}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","93913","0.0-4.0-0.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","7","406714","0.0-4.0-1.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","312800","","","","[{""page_index"":0,""viewing_time"":31052},{""page_index"":1,""viewing_time"":13110},{""page_index"":2,""viewing_time"":7079},{""page_index"":3,""viewing_time"":4431},{""page_index"":4,""viewing_time"":18994},{""page_index"":5,""viewing_time"":2620},{""page_index"":4,""viewing_time"":5412},{""page_index"":3,""viewing_time"":2690},{""page_index"":4,""viewing_time"":93504},{""page_index"":5,""viewing_time"":62692},{""page_index"":6,""viewing_time"":7488},{""page_index"":7,""viewing_time"":9748},{""page_index"":8,""viewing_time"":7434},{""page_index"":9,""viewing_time"":11814},{""page_index"":8,""viewing_time"":1427},{""page_index"":9,""viewing_time"":2694},{""page_index"":10,""viewing_time"":27268},{""page_index"":11,""viewing_time"":3341}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","412034","0.0-4.0-2.0-0.0-0.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","5315","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","419943","0.0-4.0-2.0-1.0-0.0","5e4898bd88257233536a65b5","635ab8fc87ce89828e04cd4e","635abff82cd4b651c01af48d","5812","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","",""
