"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","highH_score","lowH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","block_num","seq_file","trial_seq_info","two_arm_score_block1","two_arm_score_block2","two_arm_score_total","total_bonus"
"pavlovia","0","1512","0.0-0.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","36212","0.0-1.0-0.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","34518","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","40842","0.0-1.0-1.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","4628","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","44593","0.0-1.0-2.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","3747","","{""Q0"":""35""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","73219","0.0-2.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","28519","","","","[{""page_index"":0,""viewing_time"":25555},{""page_index"":1,""viewing_time"":2964}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","75961","0.0-3.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","2741","","","","[{""page_index"":0,""viewing_time"":2741}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","79196","0.0-4.0-0.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","7","235119","0.0-4.0-1.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","155924","","","","[{""page_index"":0,""viewing_time"":20017},{""page_index"":1,""viewing_time"":16425},{""page_index"":2,""viewing_time"":8760},{""page_index"":3,""viewing_time"":5890},{""page_index"":4,""viewing_time"":11208},{""page_index"":5,""viewing_time"":34066},{""page_index"":6,""viewing_time"":11584},{""page_index"":7,""viewing_time"":7792},{""page_index"":8,""viewing_time"":7292},{""page_index"":9,""viewing_time"":9374},{""page_index"":10,""viewing_time"":20308},{""page_index"":11,""viewing_time"":3208}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","239207","0.0-4.0-2.0-0.0-0.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","4087","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","248275","0.0-4.0-2.0-1.0-0.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","7081","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","257651","0.0-4.0-2.0-2.0-0.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","7992","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","11","265055","0.0-4.0-2.0-3.0-0.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","6346","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","12","290742","0.0-4.0-3.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","24589","","","","[{""page_index"":0,""viewing_time"":24589}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","307695","0.0-4.0-4.0-0.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","16952",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>10% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","14","314734","0.0-4.0-4.0-1.0-0.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","7012","","j","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","1","1","0","2","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","15","315040","0.0-4.0-4.0-1.0-1.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","16","315542","0.0-4.0-4.0-1.0-2.0","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","17","321009","0.0-4.0-4.0-1.0-0.1","601b9077694f034f0092dd8f","63690f60c96a0a9a64b48fbd","6369209fd1847d4416b358e2","5466","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","1","1","1","1","1","true","","","","","","","","","","","","","","","","",""
