"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","state","choice","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","block_num","seq_file","trial_seq_info","two_arm_score_block1","two_arm_score_block2","two_arm_score_total","jar","bead","previous_bead","correct","highH_score","lowH_score","total_bonus"
"pavlovia","0","1211","0.0-0.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","7681","0.0-1.0-0.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","6329","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","15264","0.0-1.0-1.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","7581","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","18733","0.0-1.0-2.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","3465","","{""Q0"":""25""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","41135","0.0-2.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","22297","","","","[{""page_index"":0,""viewing_time"":20113},{""page_index"":1,""viewing_time"":2183}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","42245","0.0-3.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","1109","","","","[{""page_index"":0,""viewing_time"":1108}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","43411","0.0-4.0-0.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","7","119582","0.0-4.0-1.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","76170","","","","[{""page_index"":0,""viewing_time"":7088},{""page_index"":1,""viewing_time"":14050},{""page_index"":2,""viewing_time"":11182},{""page_index"":3,""viewing_time"":26534},{""page_index"":4,""viewing_time"":17315}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","122656","0.0-4.0-2.0-0.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","3073","","f","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div></div>","good_alien_practice","0","green","1","1","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","123164","0.0-4.0-2.0-1.0","60fec21e36a05990cfa8a715","63690f60c96a0a9a64b48fbd","636920bcbc5f310d0a31dfbd","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div></div>","","","","","","","","","","","","","","","","","","","","","","","",""
