"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","block_num","seq_file","trial_seq_info","two_arm_score_block1","two_arm_score_block2","two_arm_score_total","total_bonus"
"pavlovia","0","1090","0.0-0.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","15708","0.0-1.0-0.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","14506","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","23423","0.0-1.0-1.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","7714","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","27037","0.0-1.0-2.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","3611","","{""Q0"":""38""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","44002","0.0-2.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","16846","","","","[{""page_index"":0,""viewing_time"":14802},{""page_index"":1,""viewing_time"":2044}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","45414","0.0-3.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","1411","","","","[{""page_index"":0,""viewing_time"":1411}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","46302","0.0-4.0-0.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","7","134556","0.0-4.0-1.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","88247","","","","[{""page_index"":0,""viewing_time"":12531},{""page_index"":1,""viewing_time"":7796},{""page_index"":2,""viewing_time"":5040},{""page_index"":3,""viewing_time"":2966},{""page_index"":4,""viewing_time"":11905},{""page_index"":5,""viewing_time"":12057},{""page_index"":6,""viewing_time"":5660},{""page_index"":7,""viewing_time"":7243},{""page_index"":6,""viewing_time"":3049},{""page_index"":7,""viewing_time"":1780},{""page_index"":8,""viewing_time"":4992},{""page_index"":9,""viewing_time"":3620},{""page_index"":10,""viewing_time"":6644},{""page_index"":11,""viewing_time"":2964}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","138028","0.0-4.0-2.0-0.0-0.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","3468","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","144732","0.0-4.0-2.0-1.0-0.0","6156498c17bdcd7cb70c420c","63690f60c96a0a9a64b48fbd","6369198e4c6491b45651c5dc","5177","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
