"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score_block1","block_num","seq_file","trial_seq_info","two_arm_score_block2","two_arm_score_total","total_bonus"
"pavlovia","0","990","0.0-0.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","260160","0.0-1.0-0.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","259061","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","265202","0.0-1.0-1.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","5039","","{""Q0"":""Male"",""Q1"":""Black or African American""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","267759","0.0-1.0-2.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","2552","","{""Q0"":""43""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","279192","0.0-2.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","11333","","","","[{""page_index"":0,""viewing_time"":9895},{""page_index"":1,""viewing_time"":1437}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","280305","0.0-3.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","1113","","","","[{""page_index"":0,""viewing_time"":1113}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","282310","0.0-4.0-0.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","7","382678","0.0-4.0-1.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","100375","","","","[{""page_index"":0,""viewing_time"":10175},{""page_index"":1,""viewing_time"":8734},{""page_index"":2,""viewing_time"":7407},{""page_index"":3,""viewing_time"":1827},{""page_index"":4,""viewing_time"":11718},{""page_index"":5,""viewing_time"":17870},{""page_index"":6,""viewing_time"":5673},{""page_index"":7,""viewing_time"":9242},{""page_index"":8,""viewing_time"":9977},{""page_index"":9,""viewing_time"":5211},{""page_index"":10,""viewing_time"":10841},{""page_index"":11,""viewing_time"":1700}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","385868","0.0-4.0-2.0-0.0-0.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","3189","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","393412","0.0-4.0-2.0-1.0-0.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","5270","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","399904","0.0-4.0-2.0-2.0-0.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","4845","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","11","403872","0.0-4.0-2.0-3.0-0.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","2684","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","12","412919","0.0-4.0-3.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","7622","","","","[{""page_index"":0,""viewing_time"":7622}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","416875","0.0-4.0-4.0-0.0","5e127002fa3d108e61b09a99","63690f60c96a0a9a64b48fbc","6369156a200954e2d931dfde","3955",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>10% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
