"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","highH_score","lowH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score_block1","block_num","seq_file","trial_seq_info","two_arm_score_block2","two_arm_score_total","total_bonus"
"pavlovia","0","1341","0.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","322901","0.0-1.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","321424","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","327661","0.0-1.0-1.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","4755","","{""Q0"":""Male"",""Q1"":""Hispanic or Latino""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","331261","0.0-1.0-2.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","3597","","{""Q0"":""38""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","1869477","0.0-2.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","1538108","","","","[{""page_index"":0,""viewing_time"":1536420},{""page_index"":1,""viewing_time"":1688}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","1870837","0.0-3.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","1359","","","","[{""page_index"":0,""viewing_time"":1358}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","1872332","0.0-4.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","7","1961797","0.0-4.0-1.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","89464","","","","[{""page_index"":0,""viewing_time"":12745},{""page_index"":1,""viewing_time"":9824},{""page_index"":2,""viewing_time"":3967},{""page_index"":3,""viewing_time"":2616},{""page_index"":4,""viewing_time"":8032},{""page_index"":5,""viewing_time"":26473},{""page_index"":6,""viewing_time"":4136},{""page_index"":7,""viewing_time"":7312},{""page_index"":8,""viewing_time"":3136},{""page_index"":9,""viewing_time"":3296},{""page_index"":10,""viewing_time"":5912},{""page_index"":11,""viewing_time"":2016}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","1965086","0.0-4.0-2.0-0.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","3287","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","1970269","0.0-4.0-2.0-1.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","2962","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","1978854","0.0-4.0-2.0-2.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","7200","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","11","1982005","0.0-4.0-2.0-3.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","1734","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","12","2043125","0.0-4.0-3.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","60128","","","","[{""page_index"":0,""viewing_time"":60127}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","2048486","0.0-4.0-4.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","5356",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>10% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","14","2051019","0.0-4.0-4.0-1.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","2525","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","1","1","0","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","15","2051330","0.0-4.0-4.0-1.0-1.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","16","2051842","0.0-4.0-4.0-1.0-2.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","17","2053166","0.0-4.0-4.0-1.0-0.1","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","1323","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","1","1","1","1","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","18","2053472","0.0-4.0-4.0-1.0-1.1","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","19","2053987","0.0-4.0-4.0-1.0-2.1","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","20","2054716","0.0-4.0-4.0-1.0-0.2","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","727","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","2","1","2","1","1","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","21","2055021","0.0-4.0-4.0-1.0-1.2","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","22","2055536","0.0-4.0-4.0-1.0-2.2","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","23","2056266","0.0-4.0-4.0-1.0-0.3","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","728","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","3","1","1","2","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","24","2056581","0.0-4.0-4.0-1.0-1.3","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","25","2057093","0.0-4.0-4.0-1.0-2.3","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","26","2057585","0.0-4.0-4.0-1.0-0.4","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","491","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","4","1","2","1","1","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","27","2057886","0.0-4.0-4.0-1.0-1.4","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","28","2058400","0.0-4.0-4.0-1.0-2.4","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","29","2058906","0.0-4.0-4.0-1.0-0.5","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","505","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","5","1","1","2","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","30","2059221","0.0-4.0-4.0-1.0-1.5","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","31","2059735","0.0-4.0-4.0-1.0-2.5","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","32","2060176","0.0-4.0-4.0-1.0-0.6","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","440","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","6","1","2","1","1","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","33","2060481","0.0-4.0-4.0-1.0-1.6","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","34","2060990","0.0-4.0-4.0-1.0-2.6","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","35","2061446","0.0-4.0-4.0-1.0-0.7","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","455","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","7","1","1","2","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","36","2061752","0.0-4.0-4.0-1.0-1.7","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","37","2062262","0.0-4.0-4.0-1.0-2.7","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","38","2062866","0.0-4.0-4.0-1.0-0.8","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","602","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","8","1","1","1","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","39","2063173","0.0-4.0-4.0-1.0-1.8","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","40","2063692","0.0-4.0-4.0-1.0-2.8","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","41","2064096","0.0-4.0-4.0-1.0-0.9","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","403","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","9","2","2","1","1","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","42","2064400","0.0-4.0-4.0-1.0-1.9","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","43","2064914","0.0-4.0-4.0-1.0-2.9","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","44","2065416","0.0-4.0-4.0-1.0-0.10","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","501","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","10","2","1","2","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","45","2065725","0.0-4.0-4.0-1.0-1.10","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","46","2066234","0.0-4.0-4.0-1.0-2.10","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","47","2067485","0.0-4.0-4.0-1.0-0.11","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","1251","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","11","2","2","1","2","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","48","2067802","0.0-4.0-4.0-1.0-1.11","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","49","2068319","0.0-4.0-4.0-1.0-2.11","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","50","2069526","0.0-4.0-4.0-1.0-0.12","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","1206","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","12","2","2","2","1","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","51","2069839","0.0-4.0-4.0-1.0-1.12","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","52","2070354","0.0-4.0-4.0-1.0-2.12","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","53","2071246","0.0-4.0-4.0-1.0-0.13","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","891","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","13","2","2","2","1","false","","","","","","","","","","","","","","","","",""
