"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct"
"pavlovia","0","6599","0.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","","","","","","","","","","","","","","","","","",""
"external-html","1","13189","0.0-1.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","6585","new_consent.html","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","18716","0.0-1.0-1.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","5522","","{""Q0"":""Male"",""Q1"":""Black or African American""}","[0,1]","","","","","","","","","","","","","",""
"survey-text","3","22409","0.0-1.0-2.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","3684","","{""Q0"":""26""}","","","","","","","","","","","","","","",""
"instructions","4","29569","0.0-2.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","7055","","","","[{""page_index"":0,""viewing_time"":4930},{""page_index"":1,""viewing_time"":2124}]","","","","","","","","","","","","",""
"instructions","5","30976","0.0-3.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","1406","","","","[{""page_index"":0,""viewing_time"":1405}]","","","","","","","","","","","","",""
"preload","6","31044","0.0-4.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","","","","","","true","false","[]","[]","[]","","","","","","","",""
"instructions","7","73781","0.0-4.0-1.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","42737","","","","[{""page_index"":0,""viewing_time"":5814},{""page_index"":1,""viewing_time"":1226},{""page_index"":2,""viewing_time"":1560},{""page_index"":3,""viewing_time"":605},{""page_index"":4,""viewing_time"":5255},{""page_index"":3,""viewing_time"":4522},{""page_index"":4,""viewing_time"":715},{""page_index"":5,""viewing_time"":3629},{""page_index"":6,""viewing_time"":2829},{""page_index"":7,""viewing_time"":2410},{""page_index"":8,""viewing_time"":1333},{""page_index"":9,""viewing_time"":8868},{""page_index"":10,""viewing_time"":2716},{""page_index"":11,""viewing_time"":1256}]","","","","","","","","","","","","",""
"html-button-response","8","78555","0.0-4.0-2.0-0.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","4771","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","",""
"html-button-response","9","83659","0.0-4.0-2.0-1.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","3349","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","",""
"html-button-response","10","86281","0.0-4.0-2.0-2.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","1522","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","",""
"html-button-response","11","88629","0.0-4.0-2.0-3.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","978","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","",""
"instructions","12","100397","0.0-4.0-3.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","10731","","","","[{""page_index"":0,""viewing_time"":10730}]","","","","","","","","","","","","",""
"html-keyboard-response","13","103439","0.0-4.0-4.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","3039",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>10% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","",""
"image-keyboard-response","14","109175","0.0-4.0-4.0-1.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","5730","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","1","1","0","1","true"
"image-keyboard-response","15","109499","0.0-4.0-4.0-1.0-1.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","",""
"image-keyboard-response","16","110012","0.0-4.0-4.0-1.0-2.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","",""
"image-keyboard-response","17","110029","0.0-4.0-4.0-1.0-0.1","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","13","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","1","1","1","1","1","true"
"image-keyboard-response","18","110339","0.0-4.0-4.0-1.0-1.1","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","",""
