,subject,data_file,lowH_score,highH_score,two_arm24_score,two_arm28_score,first_task,first_bead_block,first_two_arm_seq,lowH_duration,highH_duration,two_arm24_duration,two_arm28_duration,beads_ntrials,two_arm_ntrials,com_rew_stay24,rare_rew_stay24,com_norew_stay24,rare_norew_stay24,com_rew_total24,rare_rew_total24,com_norew_total24,rare_norew_total24,com_rew_stay28,rare_rew_stay28,com_norew_stay28,rare_norew_stay28,com_rew_total28,rare_rew_total28,com_norew_total28,rare_norew_total28,Ipast_beads,Ifuture_beads,Ipast_two_arm,Ifuture_two_arm
0,1.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h04.34.652.csv,224.0,230.0,73.0,71.0,two_arm,highH,seq24,7.1775166666666665,8.618966666666667,7.043266666666667,6.780316666666667,375.0,125.0,25.0,15.0,14.0,11.0,51.0,22.0,30.0,21.0,30.0,15.0,16.0,11.0,46.0,25.0,32.0,21.0,0.24754697779633403,,0.0678026842716989,
1,2.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_09h46.29.861.csv,204.0,169.0,62.0,70.0,two_arm,lowH,seq28,7.3723833333333335,6.753233333333333,6.499483333333333,6.871449999999999,375.0,125.0,21.0,13.0,18.0,15.0,36.0,26.0,41.0,21.0,27.0,14.0,17.0,10.0,49.0,21.0,38.0,16.0,0.04804082601022583,,0.06024110325752402,
2,3.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h52.54.118.csv,237.0,182.0,71.0,64.0,two_arm,highH,seq24,8.28705,8.6268,6.865916666666666,6.240933333333333,375.0,125.0,28.0,14.0,20.0,7.0,46.0,24.0,37.0,17.0,30.0,7.0,17.0,10.0,52.0,12.0,40.0,20.0,0.2213463206517185,,0.03714708067557196,
3,4.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_08h01.02.654.csv,273.0,251.0,79.0,78.0,beads,highH,seq24,6.679566666666667,8.584200000000001,7.263233333333333,6.837966666666667,375.0,125.0,31.0,25.0,28.0,12.0,51.0,27.0,31.0,15.0,41.0,14.0,23.0,11.0,58.0,20.0,31.0,15.0,0.6590915604338681,,0.27942689216672606,
4,5.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h47.39.406.csv,238.0,261.0,63.0,70.0,beads,highH,seq28,6.445766666666667,7.04,5.672633333333334,6.009683333333333,375.0,125.0,17.0,15.0,20.0,11.0,41.0,21.0,44.0,18.0,22.0,16.0,17.0,10.0,46.0,23.0,34.0,21.0,0.9201666746012276,,0.06456594575586609,
5,6.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_09h07.34.261.csv,252.0,247.0,65.0,76.0,beads,highH,seq24,7.613583333333334,10.795716666666667,7.332216666666667,6.883766666666667,375.0,125.0,36.0,28.0,38.0,16.0,36.0,28.0,42.0,18.0,53.0,19.0,24.0,18.0,56.0,19.0,27.0,22.0,0.32835411100372036,,0.7503225228322672,
6,7.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_09h36.00.267.csv,239.0,211.0,65.0,79.0,beads,highH,seq24,13.028316666666665,12.897816666666667,7.588833333333333,7.24145,375.0,125.0,37.0,22.0,30.0,9.0,41.0,24.0,42.0,17.0,57.0,18.0,20.0,13.0,60.0,19.0,29.0,16.0,0.19889951332071695,,0.25274225598253175,
7,8.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h21.48.331.csv,265.0,201.0,65.0,68.0,beads,lowH,seq24,6.872133333333333,7.559516666666667,7.0191333333333334,6.7897,375.0,125.0,46.0,19.0,41.0,18.0,46.0,19.0,41.0,18.0,46.0,18.0,37.0,17.0,49.0,18.0,39.0,18.0,0.3150988653125198,,0.24689249512152533,
8,9.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_11h47.24.123.csv,243.0,164.0,53.0,67.0,beads,highH,seq28,7.175666666666667,7.4703333333333335,5.0644833333333334,5.203016666666667,375.0,125.0,21.0,13.0,22.0,12.0,33.0,20.0,45.0,26.0,20.0,2.0,17.0,5.0,47.0,20.0,41.0,16.0,0.38370415771098476,,0.07026026477222773,
9,10.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h41.18.254.csv,280.0,280.0,71.0,77.0,two_arm,lowH,seq24,7.334483333333334,6.961416666666667,6.685416666666667,6.4444,375.0,125.0,46.0,17.0,26.0,18.0,48.0,22.0,34.0,20.0,52.0,17.0,26.0,17.0,55.0,21.0,30.0,18.0,0.5739162622145808,,0.5602284967880539,
